order	batch	date	slug	title	angle
1	launch	2026-03-30	research-harness-not-demo	The Research Harness: Why a Livestreamed Agent World	Frame the project as a longitudinal multi-agent research instrument where memory, coordination, cost, safety, and public evidence can fail visibly.
2	launch	2026-03-31	reproducible-agent-infrastructure	Reproducible Infrastructure for Agent Experiments	Show why FastAPI, Docker, Postgres, Redis, pgvector, Next.js, and nonstandard local ports were research prerequisites rather than setup chores.
3	launch	2026-04-01	llm-call-ledger	Every LLM Call Needs a Ledger	Argue that autonomous agents need centralized model routing, cost visibility, and observability before their behavior can be trusted.
4	launch	2026-04-02	agents-as-experimental-variables	Casting Agents as Experimental Variables	Explain the nine-agent config layer as controlled experimental design: personality, role, and model assignment as explicit variables.
5	launch	2026-04-02	three-tier-agent-memory	A Three-Tier Memory System for Persistent Agents	Describe core, recall, and archival memory as separate mechanisms for identity, retrieval, and permanent transcripts.
6	launch	2026-04-02	context-assembly-control-surface	Context Assembly Is Where the Agent Actually Lives	Position prompt assembly as the runtime boundary where memory, personality, goals, world state, tools, and safety meet.
7	launch	2026-04-03	first-conversation-engine	Who Talks Next? Building the First Conversation Engine	Cover weighted speaker selection, pacing, triggers, proximity, energy, and decision logging as the first social runtime.
8	launch	2026-04-03	management-before-microphones	Management Before Microphones	Show why content filtering, TTS routing, and a 3-second intervention path had to exist before public agent output.
9	launch	2026-04-03	tools-turn-characters-into-agents	Tools Turn Characters Into Agents	Move from dialogue to action by covering memory, sandbox, audience, social, web, tilemap, self-modification, and Alpha tools.
10	launch	2026-04-04	simulations-as-lab-bench	Simulations Became the Lab Bench	Explain the pivot from running a show to running measurable full-day simulations with artifacts, dashboards, evals, and seed scenarios.
11	launch	2026-04-04	qa-as-research-method	QA as a Research Method	Treat unwired tools, dummy embeddings, startup gaps, compaction gaps, and reflection scheduler issues as research findings.
12	launch	2026-04-04	repetition-problem	The Repetition Problem	Publish the early negative result: repeated conversations, identity bleed, missing speakers, and talk without action.
13	launch	2026-04-04	llm-judge-social-systems	LLM-as-Judge Evals for Artificial Social Systems	Explain the 12-category eval suite as a practical measurement layer for social, safety, agency, productivity, and world-evolution behavior.
14	launch	2026-04-04	overseer-to-management	From Overseer to Management	Explain the rename and filter tuning as a correction in how authority, safety, and social creativity were represented.
15	launch	2026-04-05	first-evolution-loop	The First Evolution Loop	Describe versioned configs, intrinsic drives, agency evals, eval analysis, and simulate-evaluate-improve as research operations.
16	launch	2026-04-08	reactive-to-proactive-agents	Making Reactive Agents Proactive	Use the autonomy diagnosis to show why internal state, initiative, goals, budgets, factions, events, and dreams were needed.
17	batch-2	2026-04-08	dreams-as-control-mechanism	Dreams as a Control Mechanism	Make dreams concrete as high-temperature reflection for breaking loops and generating goals, including early zero-entry failures.
18	batch-2	2026-04-09	pixel-office-useful-failure	The Pixel Office Was a Useful Failure	Show why the Phaser office improved visibility but still failed to provide independently verifiable physical action.
19	batch-2	2026-04-10	public-website-research-surface	Public Website as Research Surface	Frame the website as an inspectable research surface for agents, world state, evals, challenges, conversations, and APIs.
20	batch-2	2026-04-10	simulation-isolation-counterfactuals	Simulation Isolation and Counterfactual Runs	Explain why simulation-scoped memory, Redis, snapshots, clones, and simulation IDs are required for credible counterfactuals.
21	batch-2	2026-04-12	token-bloat-memory-compaction	Token Bloat, Compaction, and Long-Running Agents	Show compaction as a survival requirement for persistent agents rather than a performance optimization.
22	batch-2	2026-05-07	dashboard-walkthrough-product-shift	The Dashboard Walkthrough That Changed the Product	Cover the admin and dashboard QA burst that made simulations clearer, inspectable, and product-shaped.
23	batch-2	2026-05-08	simulation-first-pivot	The Simulation-First Pivot	Make simulations the primary product: submissions, hypotheses, outcomes, learnings, memory seeds, energy timelines, videos, and YouTube.
24	batch-2	2026-05-09	replay-fidelity-research-fidelity	Replay Fidelity Is Research Fidelity	Argue that replay correctness is evidence correctness through turn cues, real office render, roster fidelity, ports, and fail-closed loading.
25	batch-3	2026-05-17	minecraft-pivot	The Minecraft Pivot	Explain why Phaser tilemaps were not enough and why Minecraft became the embodied, inspectable action space.
26	batch-3	2026-05-17	choosing-embodiment-stack	Choosing the Embodiment Stack	Use decision records to explain Paper, Mindcraft, Mineflayer, Node, Java, offline auth, OBS capture, and launch gates.
27	batch-3	2026-05-18	forking-mindcraft	Forking Mindcraft Without Losing the Thesis	Cover reproducible fork setup, model routing, profile schema, minimal divergence, and config-generated agent profiles.
28	batch-3	2026-05-18	python-node-bridge	The Python-to-Node Bridge	Explain the authenticated bridge between Minecraft bodies and the Python brain with memory, Management, cost, kill switch, and observability.
29	batch-3	2026-05-19	memory-leaves-office	Memory Leaves the Office	Show how three-tier memory moved into embodied runs while preserving canonical managers and avoiding duplicate semantics.
30	batch-3	2026-05-19	verification-over-vibes	Verification Over Vibes	Make action reliability central: movement, placement, perception, failure taxonomy, build-from-plan, and independent verification.
31	batch-3	2026-05-20	alpha-vertical-slice	Alpha as the Vertical Slice	Tell the end-to-end Alpha slice: profile, errand verbs, verified in-world action, memory write, Management, cost gate, kill switch.
32	batch-3	2026-05-20	retiring-central-director	Retiring the Central Director	Explain all-agent embodiment and decentralized conversation, plus why a later coordination layer was still needed.
33	batch-4	2026-05-21	autonomy-needs-kill-switch	Autonomy Needs a Kill Switch	Connect persistent autonomy to hardened caps, per-agent spend limits, phone kill switch, bot/world halt paths, and alerting.
34	batch-4	2026-05-21	livestream-pipeline-ops-system	A Livestream Pipeline Is an Ops System	Describe capture, RTMP, overlays, TTS, resilience, stream kill path, and monitoring as reliability engineering.
35	batch-4	2026-05-22	director-v2-evidence-coordination	Director V2: Back to Coordination, But With Evidence	Explain why decentralized agents needed scene inboxes, spatial hearing, turn scheduling, prompt gates, memory digests, and tool parity.
36	batch-4	2026-05-23	minecraft-commands-without-minecraft	Testing Minecraft Commands Without Minecraft	Cover the E17 text-only command harness as a lower-risk way to test schemas, fixtures, providers, parsers, and semantic evaluators.
37	batch-4	2026-05-23	flat-world-live-evals	From Text Commands to Live Flat-World Evals	Cover E18 live flat-world evals for action telemetry, pathfinding, inventory, block mutation, safe spawn, and multi-agent timing.
38	batch-4	2026-05-23	open-source-readiness-safety-gate	Open Source Readiness as a Safety Gate	Show public launch gates for unsafe paths, Management-disabled broadcasts, builder spend, and Minecraft-first docs.
39	batch-5	2026-05-24	preserving-dreams-journals-embodiment	Preserving Dreams and Journals Through Embodiment	Show how reflection, dreams, journal images, website publishing, and regression tests survived the move to embodiment.
40	batch-5	2026-05-25	embodied-eval-reporting	Adapting Evals to Embodied Worlds	Explain embodied event loaders, build-verification categories, run-mode scorecards, regression gates, and build-quality feedback.
41	batch-5	2026-05-25	run-modes-starting-conditions	Run Modes and Starting Conditions	Cover RunSpec, personas, factions, seeded versus blank memory, world inputs, persistent and experimental modes, blackboards, and rescue loops.
42	batch-5	2026-05-25	negative-result-activity-not-collaboration	Negative Result: Activity Is Not Collaboration	Publish the finding that many actions and build events still did not prove rich multi-turn collaboration.
43	batch-5	2026-05-26	headless-sim-minecraft-replay	Headless Sims Meet Minecraft Replay	Connect headless RunMode, EmbodimentExecutor, decision logs, scenario targets, world events, replay CLI, and website artifacts.
44	batch-5	2026-05-26	build-intent-to-build-script	From Build Intent to Build Script	Explain BuildIntent, reference images, BuildPlan decomposition, skill-card macros, RCON execution, screenshots, and build scoring.
45	batch-5	2026-05-27	streaming-buildscripts-live-world	Streaming BuildScripts Into a Live World	Cover propose_build streaming through RCON, async MCRcon fixes, throttling, compiler wall fixes, and surfaced bridge failures.
46	batch-5	2026-05-28	civilization-mechanics-social-infrastructure	Civilization Mechanics Are Social Infrastructure	Argue that ownership, trade, theft, diplomacy, conflict, ledgers, permissions, incentives, and consequences are collaboration infrastructure.
47	batch-5	2026-05-28	emergent-task-board	Emergent Task Boards Beat Phase Machines	Explain the shift from scripted settlement phases to first-claim-wins task boards and emergent build prompts.
